paragraph,label
聯發科技為全球 IC 設計產業領導公司之一，擁有一群來自世界各地的優秀工作夥伴。我們致力打造多元團隊並促進職場平等共融，其中研發類別的女性員工人數比例高於臺灣電子電機相關科系女性畢業生比例,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
"重企業承諾與員工照護，提供優於法令的關懷支持措施，以全方位健康管理照顧員工。此外，我們多年來推動各級學校的人才培育計畫，除響應政策參與成立四大半導體學院，我們也推出 STEM 造課師計畫及全國小學科普實作獎助計畫，長期推動科技教育。聯發科技鼓勵社會創新，連續五年舉辦「智在家鄉」數位社會創新競賽，透過數位科技展現愛鄉能量，累積超過 1,500 項提案，持續在臺灣各地實踐創新","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
與股東分享公司的營運成果,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
我們在推動公司治理、環境、社會和創新價值等永續發展面向，展現出具體實績，也在實踐企業公民責任上廣獲肯定。2021 年度，聯發科技在「天下永續公民奬」及「臺灣十大永續典範企業獎」拿下歷年最好的成績，並入選多項指標性的永續性指數，包含 MSCI 臺灣 ESG 領導者指數、FTSE4Good 富時社會責任新興市場指數成分股、FTSE4Good  臺灣永續指數成分股等。我們對於永續營運的追求毫不懈怠，將持續以核心本業呼應聯合國永續發展目標 (SDGs)，致力成為客戶可靠且信賴的合作夥伴，為地球及後代打造更好的未來,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
公司三大目標志向，充分展現了公司的全球觀以及永續經營的觀點 : 要奠定公司卓越的世界級地位，成為在全球舞公司訂定了三大目標志向，其中的前兩項都和創新直接相關：第一，要在重要領域上達到技術領先，獲得市場成功；台上展現戰略影響力且備受尊崇的公司,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
第二，要在技術、功能及服務上做到差異化，創造並獲取價值，達成永續健全的成長。其中「達成永續健全的成長」即說明了與企業永續發展的一致性,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
透過併購或有機成長在全球各地延攬人才，集團於美歐亞三大洲有 27 個研發及營運據點，在總部統籌指揮下，形成日不落的堅實實力，成為奠定公司卓越世界級地位的基礎,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
我們相信科技能夠改善人類的生活並有效與世界連結，我們不間斷地努力的實現萬物聯網的各項可能，讓所有物件及裝置都能與人們產生連結及溝通，成功地運用我們的新技術拓展更多深入了解世界的機會，並積極探索新興市場和機會。例如在印度市場手機內建超過 20 種當地方言，因應當地多種語言的特性；並透過數千張攝影人像分析，為非裔客戶打造「美肌演算法」，廣受深膚色使用者的歡迎,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2021 年研發經費新台幣 960 億元，較前年度 773 億元成長近 24%，展現專注持續追求技術領先的決心,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
推出搭載多項全球領先技術的新世代旗艦 5G 系統單晶片－天璣 9000，持續以創新的計算、遊戲、影像、多媒體、通訊科技推動行動平台技術革新，賦能行動裝置廠商為消費者打造差異化的旗艦 5G 智慧手機，在國際市場上展現產業影響力,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
"持續打造高性能、低耗能的晶片產品，年減 23% 的能耗比率，依 2021 年銷售晶片產量計算，約節電 8.04 億度，降低 334,834 噸二氧化碳排放，相當於 867 座大安森林公園碳吸附量，可供應約 17 萬戶家庭的一年用電量 ","[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2021 年毛利率較前年增加 3%，營業利益成長 150%，根據市調機構統計，聯發科技位居全球第四大晶片設計公司，並躍升至全球第七大半導體公司，同時連續七年榮登「臺灣十大全球品牌」榜單，是臺灣半導體公司唯一入榜,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
共有 2  篇論文被有「半導體奧林匹克」之稱的「國際固態電路研討會 ISSCC」收錄並發表，自 2004 年起，聯發科技已連續 19 年每年都有論文入選，總共累計 85 篇,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
掌握標準制訂話語權，於 3GPP、IEEE 802.11 標準委員會以及無線網路認證組織 Wi-Fi 聯盟 (Wi-Fi Alliance) 等標準組織的工作小組擔任主席及編輯等要職，成為全球最新技術標準的貢獻者，發揮產業影響力,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
聯發科技不僅擁有技術產品的領先，更在產業生態推動上與全球夥伴密切合作，攜手展現價值，包括推動 5G 普及化的 Ericsson、Nokia、Docomo、T-mobile、Verizon 中華電信、遠傳電信等公司,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
"全球專利總數逾 12,000 件，其中 2021 年取得逾 1,500 件國內外專利，在臺灣 IC 設計產業排名第一","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
Wi-Fi 與 HEVC 視訊編碼領域之全球專利數量皆為臺灣業界第一,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
持續關注各地疫情變化，追蹤各地應變程序執行狀況；透過防疫指揮中心運籌帷幄，確保全球營運不間斷,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
為強化公司治理並提升股東權益，訂定「具體明確的股利政策」，並於年報中揭露相關資訊,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
能的發展，帶領組織成員共同成長，也為組織創造雙贏的回饋文化,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
強化雙向溝通及員工意見的收集，積極開發各項主題 AI Chatbot，提供同仁一站式、即時性與持續精進職場的諮詢與協助。此外，於 2021 年進行定期全球員工意見調查，協助公司更了解員工的期望，並可產出行動方案,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
全球正式員工及主管皆可透過整合性線上學習平台管理實體課程、在職訓練，及線上課程的相關進度、並獲得更佳的學習體驗,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
防護措施及資訊安全具體管控方案的有效性,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
風險管理委員會已於 2021 年 7 月呈報風險管理報告予董事會，其將業務活動與營運作業可能產生的各類重要風險納入整合性監控管理，進行評估與制定因應措施，並持續精進風險管理效能，以達成公司永續發展的最終目標,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
致力推動科技人才培育與數位社會創新，目的在為臺灣的科技人才奠定基礎，為臺灣產業儲備能量,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
"公司持續在台灣當地下單採購，2021 年金額超過 2,500 億台幣，與臺灣半導體業共同成長","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
長年投入產學合作以及高等教育人才培育，於校園內共同成立創研中心、以特定計畫執行之產學大聯盟、參加學術研究機購、延攬海外優秀師資、獎助海內外博士生，合作海內外大學超過 20 所,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
舉辦第四屆「智在家鄉 - 聯發科技數位社會創新競賽」，提出涵蓋全台 22  縣市 455 項創新解決方案，鼓勵大家一起用科技改善家鄉的問題。另推出「落地支持計畫」，成為得獎團隊落地實踐的助力,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
完成 ISO 14064 溫室氣體外部查證及 ISO 50001 能源管理系統外部查證，有效進行溫室氣體之申報與減量活動,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
"奠基於 2017 至 2020 年共 9 縣市的程式教育師資培育經驗，轉型推出 STEM 造課師計畫，培訓國中小科技教師，並提供校園實踐開課之多元獎補助資源。此外自 2011 年起與臺灣科教館長期合作推動科普獎助計畫，提供 40%偏鄉弱勢學校保障名額，整體計畫影響擴及 4,000 位師生，跨出科學專題的第一步","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
"三座高密度節能資料中心滿載規模下每年總節電效益估計可達到 2,030 萬度電力，自建屋頂型太陽能電廠 2021 年產生約 19.4 萬度電，2022 年第二座電廠也進行建置評估工作。此外企業總部大樓執行系列環保低碳改善做法，會議室結合公司自主研發物聯網節能晶片產品，2021 年完成全棟大樓 LED 節能照明更換、電動汽車充電站設置，不斷深耕臺灣，分別應用在教育推廣、產業發展、社會人文等領域，與社會共生共榮。2021 年度執行之各項公益專案受惠民眾總計超過 1.3 萬人次","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
2022 年將持續進行電動機車換電站之設置,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
[ 註 ] STEM 是指科學 Science、技術 Technology、工程 Engineering、及數學 Math 四大領域,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
實踐公司願景，提升及豐富大眾生活，使全人類都能夠受惠於科技普及所帶來的機會，實現更好的生活,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
動，以及公司擴大營運的同時，必須更積極滿足與回應公司對於各方面人才的需求,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
的人才職能、找到人才市場中符合公司期望的專家,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
並提供友善兼容、鼓勵創新的職場環境，協助員工發揮所長、展現自我潛能並持續精進，與公司一同永續發展,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
公司的三大目標志向，其中第三目標就是，要奠定公司卓越的世界級地位，成為在全球舞台上展現戰略影響力且備受尊崇的公司,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
這是外部眾多利害關係人最關心的事項之一，其原因有二：過往較少主動與外界溝通；過往公益捐助領域多在高等教育科技研發相關，對一般大眾較為生疏,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
聯發科技除了追求科技的創新，也追求具有社會影響力的應用，近年透過社會創新活動的推動，增加與社會的互動，進而與社會共創價值,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
為了提供良好的員工體驗，建置即時且雙向的溝通管道，才能讓公司資訊正確且迅速的傳達給員工，員工的聲音也能獲得傾聽與回應。如此整合彼此的期待與感受，才能建立永續強健的勞資關係,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
創新的溝通管道及環境，才能提升員工體驗的滿意度,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
形象是企業的資產，公司同時加強對外溝通，其目的是建立企業信譽，樹立企業形象，協調彼此間利害關係，增加認知及信賴度，為企業的生存發展創造一個良好的經營環境,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
本公司並無工廠，因此在該領域的主動性多以辦公場所為主,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
能減碳的資料蒐集外，並舉辦首次的研討交流會,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
"C. 品牌研究調查 (1,202 位客戶、意見領袖、消費者 )主要溝通議題與溝通情形請參見附表一","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
重大議題確立：綜合以上溝通、調查結果，由來自委員會的各工作小組檢討分析根本原因、研擬規劃相對應的改善措施，於上半年度工作會議中呈報主任委員 (CEO) 並做最後確認；經由此程序進行滾動式的修正回應利害關係人所關切的議題，每年會其依關注程度、營運衝擊程度進行微調，並納入企業永續發展的相關計劃,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
委員會以 2020 年重大議題調查 (A) 為基礎，取關心程度與衝擊程度總和最高的幾項，再將企業形象調查 (D) 中受關注的社會公益活動、員工意見調查 (B) 中受關注的多元管道溝通、經常性溝通中受關注的供應商永續管理三項優先性提高，形成最後的 11 項重大議題。重大議題矩陣圖根據 2020 年重大議題調查 (A) 結果繪製，重大議題排序：根據公司各單位同仁與客戶、供應商、股東、員工等利害關係人的經常性溝通，以及內外多呈現如下，其中 11 項用粗體表示，其價值鏈及範疇請參閱附表二,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
項量化質化的四大類別的統計調查：A)  內外部利害關係人重大議題問卷調查 (2019、2020 年 )、B)  全球員工意見調查 (2016、2019、2021 年 )、C)  品牌研究調查 (2018 年、2019 年 )、D) 產官學研及一般民眾的企業形象調查 (2017、2020 年 )；以上調查的間隔期間約為 2-3 年，我們對於這些調查發現都審慎面對，更從最新的調查結果確認過往措施的成果以及新的重大議題,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
與服務，致力於協助客戶獲得成功,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
政府、產業公會、學術研究單位以及智庫為聯發科技的重要的利害關係人,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]"
股東與投資人是支持聯發科技的推手,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0]"
社會大眾是聯發科技共同實踐美好生活的透過媒體進行一般民眾的科技普及教育,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
透過創新科技、頂尖產品、強大的商業模式和有效的企業回饋，提升並豐富大眾生活,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
期望透過技術、策略、行銷、管理及流程的全面創新，持續提升市場形象，日益增進品牌價值,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
定期管理銷售預估及開案數量，持續了解客戶組織結構、關注重點、行事風格等，以提升客戶好感；中長期則著力開發新市場及新客戶，以期有效拓展商機,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
定期調整行銷企畫重點，提高網路訊息曝光度及精準度。依據外部意見加強重點領域專案的規劃與執行,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
短期致力於增加 10% 品牌價值及企業形象，中長期以增加 30% 為目標,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
期望透過技術、策略、行銷、管理及流程的全面創新，持續提升市場形象，日益增進品牌價值,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
"2009 至 2021 年間九次榮獲全球半導體聯盟（Global Semiconductor Alliance, GSA）頒發「亞太卓越半導體公司」殊榮","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
榮獲臺灣永續能源研究基金會舉辦之 TCSA 臺灣企業永續獎，獲得 「臺灣十大永續典範企業獎 」，以及「人才發展獎」、「創新成長獎」、「社會共融獎」、「供應鏈領袖獎」、「資訊安全領袖獎」、「企業永續報告獎」白金獎等肯定,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
榮 登 經 濟 部 品 牌 發 展 計 畫「 臺 灣 最 佳 國 際 品 牌 」 第 6 名， 品 牌 價 值 估 計 5.94 億 美 元， 相 較 於 2020 年 成 長42%,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
臺灣業界唯一連續十九年榮獲 IEEE 國際固態電路研討會（IEEE International Solid-State Circuit Conference，簡稱 ISSCC）論文入選殊榮,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
從智慧手機、電視和語音助理到 Chromebook，以及 Wi-Fi 連接產品，聯發科技為全球知名品牌提供產品支援,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
推動著消費者喜愛的品牌前進，共同提供頂尖技術，以豐富並提升大眾生活,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
聯發科技也不斷延伸贊助計畫，持續與全球網路社群的科技達人合作，並與生活風格網紅攜手推廣「推動您喜愛的品牌前進」企劃，展示全球電子大廠搭載聯發科技晶片的新產品，讓大眾了解每年聯發科技驅動將近 20 億個終端裝置,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
"聯發科技推出「Incredible In, Incredible Out」計畫，強調每台裝置的用戶體驗取決於其內在，此推廣活動展現聯發科技創新、高性能且具備豐富特色的解決方案如何驅動各式各樣的裝置，進而帶給使用者不凡的用戶體驗","[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
